n_h,scaling_factor,learning_rate,num_iterations,cost,accuracy
4,1,0.5,7000,1.531875,41.562
4,1,0.5,10000,1.542201,21.875
4,1,0.5,15000,1.545454,50.313
4,1,0.5,20000,1.529133,31.25
4,1,0.5,30000,1.547691,51.25
4,1,0.5,50000,1.536093,44.062
4,1,0.7,500,1.5794,29.688
4,1,0.7,1000,1.525322,32.188
4,1,0.7,2000,1.529275,47.5
4,1,0.7,3000,1.521226,23.125
4,1,0.7,5000,1.549775,36.25
4,1,0.7,7000,1.503218,29.688
4,1,0.7,10000,1.566646,18.438
4,1,0.7,15000,1.50003,35
4,1,0.7,20000,1.492648,45
4,1,0.7,30000,1.496101,32.5
4,1,0.7,50000,1.521101,51.875
4,1,0.9,500,1.574994,43.438
4,1,0.9,1000,1.565544,45.938
4,1,0.9,2000,1.535716,37.188
4,1,0.9,3000,1.567989,42.812
4,1,0.9,5000,1.503821,35.938
4,1,0.9,7000,1.558596,35.625
4,1,0.9,10000,1.488863,35.625
4,1,0.9,15000,1.4785,48.125
4,1,0.9,20000,1.497682,30.625
4,1,0.9,30000,1.48597,42.188
4,1,0.9,50000,1.47162,30.312
4,1,1.1,500,1.593333,51.562
4,1,1.1,1000,1.556734,30.625
4,1,1.1,2000,1.517147,45.312
4,1,1.1,3000,1.504722,45.625
4,1,1.1,5000,1.50789,50.938
4,1,1.1,7000,1.575954,47.812
4,1,1.1,10000,1.488366,38.125
4,1,1.1,15000,1.505732,30.625
4,1,1.1,20000,1.492132,47.5
4,1,1.1,30000,1.540193,30.625
4,1,1.1,50000,1.511114,36.562
4,1,1.3,500,1.555665,29.375
4,1,1.3,1000,1.555859,46.875
4,1,1.3,2000,1.538806,42.188
4,1,1.3,3000,1.524247,49.062
4,1,1.3,5000,1.529767,42.188
4,1,1.3,7000,1.546139,36.875
4,1,1.3,10000,1.535704,49.688
4,1,1.3,15000,1.517904,38.125
4,1,1.3,20000,1.469419,40
4,1,1.3,30000,1.493987,42.5
4,1,1.3,50000,1.468926,49.688
4,1,1.5,500,1.553904,36.875
4,1,1.5,1000,1.523196,38.438
4,1,1.5,2000,1.529408,27.5
4,1,1.5,3000,1.537307,52.812
4,1,1.5,5000,1.51603,45.625
4,1,1.5,7000,1.507548,37.188
4,1,1.5,10000,1.497367,48.75
4,1,1.5,15000,1.495781,50
4,1,1.5,20000,1.505616,38.438
4,1,1.5,30000,1.509335,51.875
4,1,1.5,50000,1.492043,43.75
4,1,1.8,500,1.546021,45.625
4,1,1.8,1000,1.512096,44.062
4,1,1.8,2000,1.555765,49.688
4,1,1.8,3000,1.51034,48.75
4,1,1.8,5000,1.493968,46.562
4,1,1.8,7000,1.500278,47.812
4,1,1.8,10000,1.50292,29.063
4,1,1.8,15000,1.539397,41.875
4,1,1.8,20000,1.502598,52.812
4,1,1.8,30000,1.522432,39.375
4,1,1.8,50000,1.503052,42.188
5,0.001,0.03,500,2.091897,43.75
5,0.001,0.03,1000,1.752325,48.75
5,0.001,0.03,2000,1.662188,46.25
5,0.001,0.03,3000,1.631795,49.688
5,0.001,0.03,5000,1.59313,41.875
5,0.001,0.03,7000,1.563282,41.25
5,0.001,0.03,10000,1.54485,52.5
5,0.001,0.03,15000,1.500899,52.188
5,0.001,0.03,20000,1.494215,31.25
5,0.001,0.03,30000,1.483484,47.5
5,0.001,0.03,50000,1.488379,47.5
5,0.001,0.1,500,1.684065,47.5
5,0.001,0.1,1000,1.609311,36.25
5,0.001,0.1,2000,1.561143,46.875
5,0.001,0.1,3000,1.526978,39.062
5,0.001,0.1,5000,1.552399,48.75
5,0.001,0.1,7000,1.502211,33.75
5,0.001,0.1,10000,1.487136,34.062
5,0.001,0.1,15000,1.479406,40.625
5,0.001,0.1,20000,1.46221,46.25
5,0.001,0.1,30000,1.465835,40.938
5,0.001,0.1,50000,1.469182,46.25
5,0.001,0.3,500,1.593333,47.5
5,0.001,0.3,1000,1.518494,37.812
5,0.001,0.3,2000,1.496233,37.5
5,0.001,0.3,3000,1.494498,51.25
5,0.001,0.3,5000,1.483963,31.25
5,0.001,0.3,7000,1.478256,38.438
5,0.001,0.3,10000,1.459529,49.688
5,0.001,0.3,15000,1.467834,48.125
5,0.001,0.3,20000,1.474569,39.688
5,0.001,0.3,30000,1.448149,45.938
5,0.001,0.3,50000,1.463785,37.812
5,0.001,0.5,500,1.550142,37.812
5,0.001,0.5,1000,1.514644,45.625
5,0.001,0.5,2000,1.486178,23.75
5,0.001,0.5,3000,1.482847,38.438
5,0.001,0.5,5000,1.474533,42.812
5,0.001,0.5,7000,1.464741,42.188
5,0.001,0.5,10000,1.465753,42.812
5,0.001,0.5,15000,1.46278,46.562
5,0.001,0.5,20000,1.447054,40.938
5,0.001,0.5,30000,1.448005,49.062
5,0.001,0.5,50000,1.431197,41.25
5,0.001,0.7,500,1.546878,48.75
5,0.001,0.7,1000,1.485688,47.188
5,0.001,0.7,2000,1.483646,48.75
5,0.001,0.7,3000,1.494675,33.75
5,0.001,0.7,5000,1.471083,30
5,0.001,0.7,7000,1.461788,51.25
5,0.001,0.7,10000,1.438623,44.688
5,0.001,0.7,15000,1.453257,50.938
5,0.001,0.7,20000,1.467948,43.438
5,0.001,0.7,30000,1.435763,36.562
5,0.001,0.7,50000,1.426546,30.938
5,0.001,0.9,500,1.50546,43.75
5,0.001,0.9,1000,1.484767,51.25
5,0.001,0.9,2000,1.473992,53.125
5,0.001,0.9,3000,1.495805,42.188
5,0.001,0.9,5000,1.463263,38.438
5,0.001,0.9,7000,1.466979,42.812
5,0.001,0.9,10000,1.456504,41.875
5,0.001,0.9,15000,1.453925,37.5
5,0.001,0.9,20000,1.465183,42.812
5,0.001,0.9,30000,1.451787,51.25
5,0.001,0.9,50000,1.413663,46.562
5,0.001,1.1,500,1.51577,22.188
5,0.001,1.1,1000,1.502386,48.75
5,0.001,1.1,2000,1.488592,42.5
5,0.001,1.1,3000,1.498681,45
5,0.001,1.1,5000,1.466639,49.688
5,0.001,1.1,7000,1.452995,42.5
5,0.001,1.1,10000,1.470482,50.625
5,0.001,1.1,15000,1.433962,37.5
5,0.001,1.1,20000,1.453304,47.5
5,0.001,1.1,30000,1.457297,27.812
5,0.001,1.1,50000,1.45883,36.875
5,0.001,1.3,500,1.490394,46.562
5,0.001,1.3,1000,1.489974,40.312
5,0.001,1.3,2000,1.468449,33.438
5,0.001,1.3,3000,1.465048,31.562
5,0.001,1.3,5000,1.458621,35.938
5,0.001,1.3,7000,1.48663,49.062
5,0.001,1.3,10000,1.465829,29.375
5,0.001,1.3,15000,1.439422,48.125
5,0.001,1.3,20000,1.447289,44.062
5,0.001,1.3,30000,1.435375,43.75
5,0.001,1.3,50000,1.431553,50.625
5,0.001,1.5,500,1.501986,27.5
5,0.001,1.5,1000,1.495049,42.188
5,0.001,1.5,2000,1.485,36.25
5,0.001,1.5,3000,1.479295,51.562
5,0.001,1.5,5000,1.476892,47.812
5,0.001,1.5,7000,1.467457,35.938
5,0.001,1.5,10000,1.471851,40.312
5,0.001,1.5,15000,1.442345,34.375
5,0.001,1.5,20000,1.440737,46.25
5,0.001,1.5,30000,1.440769,44.688
5,0.001,1.5,50000,1.430369,27.5
5,0.001,1.8,500,1.502357,47.5
5,0.001,1.8,1000,1.480039,41.25
5,0.001,1.8,2000,1.463948,42.5
5,0.001,1.8,3000,1.471022,49.375
5,0.001,1.8,5000,1.476964,35.938
5,0.001,1.8,7000,1.458795,51.562
5,0.001,1.8,10000,1.448231,45
5,0.001,1.8,15000,1.447858,44.688
5,0.001,1.8,20000,1.45907,38.125
5,0.001,1.8,30000,1.420156,37.812
5,0.001,1.8,50000,1.414434,48.75
5,0.003,0.03,500,1.91757,44.688
5,0.003,0.03,1000,1.744897,50.938
5,0.003,0.03,2000,1.661289,37.188
5,0.003,0.03,3000,1.631376,39.062
5,0.003,0.03,5000,1.570953,47.5
5,0.003,0.03,7000,1.538364,33.125
5,0.003,0.03,10000,1.539768,43.75
5,0.003,0.03,15000,1.534781,42.188
5,0.003,0.03,20000,1.520353,31.562
5,0.003,0.03,30000,1.502279,42.5
5,0.003,0.03,50000,1.49755,36.562
5,0.003,0.1,500,1.679114,44.062
5,0.003,0.1,1000,1.597138,32.812
5,0.003,0.1,2000,1.57964,41.875
5,0.003,0.1,3000,1.526633,43.75
5,0.003,0.1,5000,1.492534,50.938
5,0.003,0.1,7000,1.487356,46.562
5,0.003,0.1,10000,1.502073,47.188
5,0.003,0.1,15000,1.482872,41.562
5,0.003,0.1,20000,1.46923,44.688
5,0.003,0.1,30000,1.465674,49.062
5,0.003,0.1,50000,1.460141,36.562
5,0.003,0.3,500,1.562469,24.062
5,0.003,0.3,1000,1.533318,48.125
5,0.003,0.3,2000,1.492676,42.812
5,0.003,0.3,3000,1.533486,47.188
5,0.003,0.3,5000,1.503378,43.438
5,0.003,0.3,7000,1.487526,50.313
5,0.003,0.3,10000,1.476606,26.25
5,0.003,0.3,15000,1.438888,44.375
5,0.003,0.3,20000,1.456995,38.125
5,0.003,0.3,30000,1.477935,40.938
5,0.003,0.3,50000,1.449038,39.688
5,0.003,0.5,500,1.537317,35.312
5,0.003,0.5,1000,1.501111,32.188
5,0.003,0.5,2000,1.494532,50.938
5,0.003,0.5,3000,1.476381,42.812
5,0.003,0.5,5000,1.464144,49.688
5,0.003,0.5,7000,1.470272,34.688
5,0.003,0.5,10000,1.453718,49.375
5,0.003,0.5,15000,1.471877,41.562
5,0.003,0.5,20000,1.428034,45.312
5,0.003,0.5,30000,1.46969,24.688
5,0.003,0.5,50000,1.436692,44.688
5,0.003,0.7,500,1.517043,46.25
5,0.003,0.7,1000,1.493987,34.375
5,0.003,0.7,2000,1.481483,31.25
5,0.003,0.7,3000,1.481136,49.688
5,0.003,0.7,5000,1.463318,50.313
5,0.003,0.7,7000,1.457506,41.25
5,0.003,0.7,10000,1.464499,46.562
5,0.003,0.7,15000,1.454431,30.312
5,0.003,0.7,20000,1.465308,39.688
5,0.003,0.7,30000,1.452594,34.375
5,0.003,0.7,50000,1.439148,41.875
5,0.003,0.9,500,1.51868,50
5,0.003,0.9,1000,1.482565,33.125
5,0.003,0.9,2000,1.495561,39.375
5,0.003,0.9,3000,1.462376,41.25
5,0.003,0.9,5000,1.469044,48.75
5,0.003,0.9,7000,1.477486,44.688
5,0.003,0.9,10000,1.479376,39.062
5,0.003,0.9,15000,1.45171,51.875
5,0.003,0.9,20000,1.451922,43.438
5,0.003,0.9,30000,1.438266,49.688
5,0.003,0.9,50000,1.474947,51.562
5,0.003,1.1,500,1.512739,31.25
5,0.003,1.1,1000,1.490086,40.625
5,0.003,1.1,2000,1.490423,43.75
5,0.003,1.1,3000,1.499384,31.25
5,0.003,1.1,5000,1.486326,51.875
5,0.003,1.1,7000,1.452922,47.812
5,0.003,1.1,10000,1.458026,44.375
5,0.003,1.1,15000,1.437647,45
5,0.003,1.1,20000,1.453545,45
5,0.003,1.1,30000,1.442523,43.438
5,0.003,1.1,50000,1.424555,45.625
5,0.003,1.3,500,1.496536,51.562
5,0.003,1.3,1000,1.482393,36.562
5,0.003,1.3,2000,1.462483,39.062
5,0.003,1.3,3000,1.459638,47.812
5,0.003,1.3,5000,1.448894,41.25
5,0.003,1.3,7000,1.455819,42.812
5,0.003,1.3,10000,1.473808,37.812
5,0.003,1.3,15000,1.419353,45.938
5,0.003,1.3,20000,1.43109,38.75
5,0.003,1.3,30000,1.438046,45
5,0.003,1.3,50000,1.438004,35.938
5,0.003,1.5,500,1.501289,30.625
5,0.003,1.5,1000,1.490617,40
5,0.003,1.5,2000,1.471437,42.5
5,0.003,1.5,3000,1.493662,52.812
5,0.003,1.5,5000,1.455847,51.25
5,0.003,1.5,7000,1.449845,50.313
5,0.003,1.5,10000,1.452423,51.562
5,0.003,1.5,15000,1.466568,51.25
5,0.003,1.5,20000,1.4343,43.438
5,0.003,1.5,30000,1.457849,50.313
5,0.003,1.5,50000,1.444665,40.938
5,0.003,1.8,500,1.482519,29.688
5,0.003,1.8,1000,1.476884,48.75
5,0.003,1.8,2000,1.461306,37.188
5,0.003,1.8,3000,1.470255,50.313
5,0.003,1.8,5000,1.476735,44.688
5,0.003,1.8,7000,1.438539,49.062
5,0.003,1.8,10000,1.451426,44.688
5,0.003,1.8,15000,1.436939,48.125
5,0.003,1.8,20000,1.445398,43.125
5,0.003,1.8,30000,1.437876,46.25
5,0.003,1.8,50000,1.453007,41.562
5,0.01,0.03,500,1.858043,45
5,0.01,0.03,1000,1.716013,50
5,0.01,0.03,2000,1.64111,39.062
5,0.01,0.03,3000,1.594788,46.875
5,0.01,0.03,5000,1.569392,44.375
5,0.01,0.03,7000,1.518724,41.562
5,0.01,0.03,10000,1.535075,50.313
5,0.01,0.03,15000,1.500248,28.75
5,0.01,0.03,20000,1.509217,47.188
5,0.01,0.03,30000,1.494417,30.625
5,0.01,0.03,50000,1.493042,31.875
5,0.01,0.1,500,1.661833,46.25
5,0.01,0.1,1000,1.571573,38.438
5,0.01,0.1,2000,1.545204,35.938
5,0.01,0.1,3000,1.510764,48.125
5,0.01,0.1,5000,1.519087,40.312
5,0.01,0.1,7000,1.480377,32.5
5,0.01,0.1,10000,1.482122,32.188
5,0.01,0.1,15000,1.496404,51.562
5,0.01,0.1,20000,1.473218,35.312
5,0.01,0.1,30000,1.471364,38.438
5,0.01,0.1,50000,1.459852,38.438
5,0.01,0.3,500,1.56436,48.75
5,0.01,0.3,1000,1.518449,48.125
5,0.01,0.3,2000,1.489546,45
5,0.01,0.3,3000,1.481738,46.875
5,0.01,0.3,5000,1.518307,46.25
5,0.01,0.3,7000,1.48872,32.5
5,0.01,0.3,10000,1.461153,44.375
5,0.01,0.3,15000,1.474266,48.125
5,0.01,0.3,20000,1.494103,45
5,0.01,0.3,30000,1.438336,50.313
5,0.01,0.3,50000,1.439483,48.438
5,0.01,0.5,500,1.548188,36.875
5,0.01,0.5,1000,1.510142,51.875
5,0.01,0.5,2000,1.485015,31.562
5,0.01,0.5,3000,1.466386,34.062
5,0.01,0.5,5000,1.484928,47.188
5,0.01,0.5,7000,1.467335,38.438
5,0.01,0.5,10000,1.451361,44.688
5,0.01,0.5,15000,1.463706,45.312
5,0.01,0.5,20000,1.446979,45
5,0.01,0.5,30000,1.449846,25
5,0.01,0.5,50000,1.435737,43.75
5,0.01,0.7,500,1.51225,42.5
5,0.01,0.7,1000,1.496001,43.125
5,0.01,0.7,2000,1.488851,48.125
5,0.01,0.7,3000,1.46539,37.5
5,0.01,0.7,5000,1.461221,36.562
5,0.01,0.7,7000,1.462248,49.688
5,0.01,0.7,10000,1.484498,41.875
5,0.01,0.7,15000,1.445619,49.688
5,0.01,0.7,20000,1.441341,45.938
5,0.01,0.7,30000,1.414842,32.812
5,0.01,0.7,50000,1.432763,36.25
5,0.01,0.9,500,1.494953,47.188
5,0.01,0.9,1000,1.495508,48.438
5,0.01,0.9,2000,1.481205,39.688
5,0.01,0.9,3000,1.483437,46.25
5,0.01,0.9,5000,1.450568,34.375
5,0.01,0.9,7000,1.443832,36.25
5,0.01,0.9,10000,1.459909,38.75
5,0.01,0.9,15000,1.462064,51.25
5,0.01,0.9,20000,1.436579,43.125
5,0.01,0.9,30000,1.433656,50.938
5,0.01,0.9,50000,1.405926,37.188
5,0.01,1.1,500,1.488295,47.5
5,0.01,1.1,1000,1.472905,47.812
5,0.01,1.1,2000,1.469115,43.75
5,0.01,1.1,3000,1.466761,37.188
5,0.01,1.1,5000,1.496637,46.562
5,0.01,1.1,7000,1.444102,47.812
5,0.01,1.1,10000,1.456618,32.188
5,0.01,1.1,15000,1.439816,45.938
5,0.01,1.1,20000,1.453931,38.125
5,0.01,1.1,30000,1.445255,36.25
5,0.01,1.1,50000,1.442073,42.812
5,0.01,1.3,500,1.500837,34.062
5,0.01,1.3,1000,1.505487,47.188
5,0.01,1.3,2000,1.476109,49.375
5,0.01,1.3,3000,1.478337,37.5
5,0.01,1.3,5000,1.451879,42.5
5,0.01,1.3,7000,1.434207,45
5,0.01,1.3,10000,1.470278,18.125
5,0.01,1.3,15000,1.440992,48.125
5,0.01,1.3,20000,1.449124,31.25
5,0.01,1.3,30000,1.41663,51.25
5,0.01,1.3,50000,1.446181,14.375
5,0.01,1.5,500,1.494369,45.312
5,0.01,1.5,1000,1.469926,35.625
5,0.01,1.5,2000,1.466256,46.562
5,0.01,1.5,3000,1.470366,45.312
5,0.01,1.5,5000,1.463415,42.188
5,0.01,1.5,7000,1.463878,34.688
5,0.01,1.5,10000,1.448038,45.312
5,0.01,1.5,15000,1.438008,41.562
5,0.01,1.5,20000,1.451328,51.875
5,0.01,1.5,30000,1.437889,27.5
5,0.01,1.5,50000,1.441398,38.75
5,0.01,1.8,500,1.479539,48.438
5,0.01,1.8,1000,1.47081,34.375
5,0.01,1.8,2000,1.473834,29.688
5,0.01,1.8,3000,1.47091,52.812
5,0.01,1.8,5000,1.458269,31.25
5,0.01,1.8,7000,1.453479,40.938
5,0.01,1.8,10000,1.443678,48.75
5,0.01,1.8,15000,1.41887,46.875
5,0.01,1.8,20000,1.44257,41.875
5,0.01,1.8,30000,1.418841,42.188
5,0.01,1.8,50000,1.427128,46.25
5,0.03,0.03,500,1.800054,47.188
5,0.03,0.03,1000,1.693332,39.688
5,0.03,0.03,2000,1.643832,51.25
5,0.03,0.03,3000,1.577607,40.625
5,0.03,0.03,5000,1.560563,40.312
5,0.03,0.03,7000,1.561622,47.188
5,0.03,0.03,10000,1.52732,35.938
5,0.03,0.03,15000,1.523278,42.812
5,0.03,0.03,20000,1.507723,44.375
5,0.03,0.03,30000,1.492271,47.188
5,0.03,0.03,50000,1.484545,26.562
5,0.03,0.1,500,1.632518,34.062
5,0.03,0.1,1000,1.580495,25.938
5,0.03,0.1,2000,1.5323,50.938
5,0.03,0.1,3000,1.533672,51.562
5,0.03,0.1,5000,1.490807,35.625
5,0.03,0.1,7000,1.485669,42.5
5,0.03,0.1,10000,1.492529,35.938
5,0.03,0.1,15000,1.474256,34.688
5,0.03,0.1,20000,1.477694,46.875
5,0.03,0.1,30000,1.464545,42.188
5,0.03,0.1,50000,1.458812,47.812
5,0.03,0.3,500,1.575303,46.562
5,0.03,0.3,1000,1.518126,29.688
5,0.03,0.3,2000,1.482084,35.625
5,0.03,0.3,3000,1.482203,39.062
5,0.03,0.3,5000,1.482972,35.625
5,0.03,0.3,7000,1.484071,43.438
5,0.03,0.3,10000,1.460811,38.438
5,0.03,0.3,15000,1.456174,38.438
5,0.03,0.3,20000,1.469569,35.625
5,0.03,0.3,30000,1.448895,45.625
5,0.03,0.3,50000,1.459633,34.688
5,0.03,0.5,500,1.532066,52.5
5,0.03,0.5,1000,1.518535,42.5
5,0.03,0.5,2000,1.496188,51.562
5,0.03,0.5,3000,1.515287,51.25
5,0.03,0.5,5000,1.482462,42.188
5,0.03,0.5,7000,1.479018,36.562
5,0.03,0.5,10000,1.461505,9.688
5,0.03,0.5,15000,1.468314,46.562
5,0.03,0.5,20000,1.462161,48.125
5,0.03,0.5,30000,1.446184,53.125
5,0.03,0.5,50000,1.447701,48.125
5,0.03,0.7,500,1.516243,38.438
5,0.03,0.7,1000,1.504784,40.312
5,0.03,0.7,2000,1.480468,48.75
5,0.03,0.7,3000,1.471431,48.125
5,0.03,0.7,5000,1.477373,48.75
5,0.03,0.7,7000,1.468793,46.562
5,0.03,0.7,10000,1.468072,41.875
5,0.03,0.7,15000,1.458906,41.875
5,0.03,0.7,20000,1.451816,44.688
5,0.03,0.7,30000,1.438114,35.312
5,0.03,0.7,50000,1.433588,34.375
5,0.03,0.9,500,1.49871,28.438
5,0.03,0.9,1000,1.500521,35.312
5,0.03,0.9,2000,1.464387,29.375
5,0.03,0.9,3000,1.465536,37.5
5,0.03,0.9,5000,1.47853,52.188
5,0.03,0.9,7000,1.453066,42.812
5,0.03,0.9,10000,1.474999,32.5
5,0.03,0.9,15000,1.439452,49.062
5,0.03,0.9,20000,1.447553,45.938
5,0.03,0.9,30000,1.439045,30.312
5,0.03,0.9,50000,1.44515,31.25
5,0.03,1.1,500,1.493753,37.188
5,0.03,1.1,1000,1.502434,30.625
5,0.03,1.1,2000,1.478717,50.625
5,0.03,1.1,3000,1.463425,37.5
5,0.03,1.1,5000,1.477383,35.938
5,0.03,1.1,7000,1.463978,37.812
5,0.03,1.1,10000,1.468143,34.688
5,0.03,1.1,15000,1.44235,36.875
5,0.03,1.1,20000,1.426755,45.938
5,0.03,1.1,30000,1.411873,44.688
5,0.03,1.1,50000,1.448091,30.625
5,0.03,1.3,500,1.495393,47.188
5,0.03,1.3,1000,1.487869,32.188
5,0.03,1.3,2000,1.461221,34.688
5,0.03,1.3,3000,1.468572,46.25
5,0.03,1.3,5000,1.455282,37.188
5,0.03,1.3,7000,1.460496,51.875
5,0.03,1.3,10000,1.45882,49.375
5,0.03,1.3,15000,1.458972,36.25
5,0.03,1.3,20000,1.437346,50
5,0.03,1.3,30000,1.427191,39.062
5,0.03,1.3,50000,1.414934,50
5,0.03,1.5,500,1.489366,43.438
5,0.03,1.5,1000,1.475094,48.125
5,0.03,1.5,2000,1.470507,44.375
5,0.03,1.5,3000,1.481752,37.812
5,0.03,1.5,5000,1.462385,47.188
5,0.03,1.5,7000,1.469648,30.938
5,0.03,1.5,10000,1.437287,46.25
5,0.03,1.5,15000,1.476325,20
5,0.03,1.5,20000,1.46004,42.188
5,0.03,1.5,30000,1.449618,39.375
5,0.03,1.5,50000,1.444967,33.438
5,0.03,1.8,500,1.478829,39.375
5,0.03,1.8,1000,1.472387,40.625
5,0.03,1.8,2000,1.480852,45
5,0.03,1.8,3000,1.445116,45.938
5,0.03,1.8,5000,1.446824,36.562
5,0.03,1.8,7000,1.44723,38.75
5,0.03,1.8,10000,1.429904,38.438
5,0.03,1.8,15000,1.459853,33.125
5,0.03,1.8,20000,1.448883,40.938
5,0.03,1.8,30000,1.434805,42.188
5,0.03,1.8,50000,1.423836,36.562
5,0.1,0.03,500,1.753206,36.875
5,0.1,0.03,1000,1.684342,37.188
5,0.1,0.03,2000,1.620025,51.562
5,0.1,0.03,3000,1.590035,41.562
5,0.1,0.03,5000,1.555816,50.313
5,0.1,0.03,7000,1.542146,34.688
5,0.1,0.03,10000,1.513172,47.188
5,0.1,0.03,15000,1.518244,39.375
5,0.1,0.03,20000,1.492287,36.875
5,0.1,0.03,30000,1.487903,37.812
5,0.1,0.03,50000,1.486596,43.125
5,0.1,0.1,500,1.619504,36.25
5,0.1,0.1,1000,1.574184,30.312
5,0.1,0.1,2000,1.519438,43.125
5,0.1,0.1,3000,1.550576,43.75
5,0.1,0.1,5000,1.50102,47.5
5,0.1,0.1,7000,1.51198,47.5
5,0.1,0.1,10000,1.515775,43.125
5,0.1,0.1,15000,1.49981,50.313
5,0.1,0.1,20000,1.458012,31.562
5,0.1,0.1,30000,1.46583,30
5,0.1,0.1,50000,1.46287,46.562
5,0.1,0.3,500,1.551058,36.25
5,0.1,0.3,1000,1.517883,46.875
5,0.1,0.3,2000,1.498137,25.625
5,0.1,0.3,3000,1.498667,35.938
5,0.1,0.3,5000,1.476472,29.375
5,0.1,0.3,7000,1.474332,44.688
5,0.1,0.3,10000,1.473928,35
5,0.1,0.3,15000,1.467202,40.938
5,0.1,0.3,20000,1.457125,37.812
5,0.1,0.3,30000,1.448807,45.938
5,0.1,0.3,50000,1.438196,29.063
5,0.1,0.5,500,1.518794,32.812
5,0.1,0.5,1000,1.4954,30.312
5,0.1,0.5,2000,1.516834,50
5,0.1,0.5,3000,1.493882,37.812
5,0.1,0.5,5000,1.475634,45.938
5,0.1,0.5,7000,1.487173,50.938
5,0.1,0.5,10000,1.455941,42.5
5,0.1,0.5,15000,1.441935,36.562
5,0.1,0.5,20000,1.459699,51.562
5,0.1,0.5,30000,1.456065,45
5,0.1,0.5,50000,1.448275,41.562
5,0.1,0.7,500,1.541686,49.375
5,0.1,0.7,1000,1.510866,47.188
5,0.1,0.7,2000,1.474811,22.188
5,0.1,0.7,3000,1.485697,37.5
5,0.1,0.7,5000,1.466508,34.688
5,0.1,0.7,7000,1.4919,40.938
5,0.1,0.7,10000,1.461562,47.812
5,0.1,0.7,15000,1.44599,42.812
5,0.1,0.7,20000,1.440775,45.625
5,0.1,0.7,30000,1.43462,47.188
5,0.1,0.7,50000,1.418839,45.625
5,0.1,0.9,500,1.503967,40.625
5,0.1,0.9,1000,1.480368,40
5,0.1,0.9,2000,1.487904,38.438
5,0.1,0.9,3000,1.477017,45.625
5,0.1,0.9,5000,1.484623,50.938
5,0.1,0.9,7000,1.468317,38.75
5,0.1,0.9,10000,1.462055,47.5
5,0.1,0.9,15000,1.451252,43.125
5,0.1,0.9,20000,1.43465,46.875
5,0.1,0.9,30000,1.462134,32.188
5,0.1,0.9,50000,1.421019,40.312
5,0.1,1.1,500,1.496075,38.75
5,0.1,1.1,1000,1.473864,43.438
5,0.1,1.1,2000,1.486041,39.062
5,0.1,1.1,3000,1.469292,41.562
5,0.1,1.1,5000,1.446781,46.875
5,0.1,1.1,7000,1.458208,45.938
5,0.1,1.1,10000,1.471041,41.25
5,0.1,1.1,15000,1.442516,38.125
5,0.1,1.1,20000,1.448493,44.062
5,0.1,1.1,30000,1.441886,50.313
5,0.1,1.1,50000,1.433141,45.312
5,0.1,1.3,500,1.490187,45.938
5,0.1,1.3,1000,1.49791,33.438
5,0.1,1.3,2000,1.463985,36.875
5,0.1,1.3,3000,1.475814,35.312
5,0.1,1.3,5000,1.437346,46.25
5,0.1,1.3,7000,1.450842,42.812
5,0.1,1.3,10000,1.443415,37.188
5,0.1,1.3,15000,1.43579,38.438
5,0.1,1.3,20000,1.452092,46.25
5,0.1,1.3,30000,1.410139,33.125
5,0.1,1.3,50000,1.478494,50
5,0.1,1.5,500,1.499549,52.188
5,0.1,1.5,1000,1.479369,34.062
5,0.1,1.5,2000,1.496527,41.875
5,0.1,1.5,3000,1.460963,45.312
5,0.1,1.5,5000,1.458339,37.5
5,0.1,1.5,7000,1.475765,35.312
5,0.1,1.5,10000,1.457096,50.625
5,0.1,1.5,15000,1.456129,42.188
5,0.1,1.5,20000,1.447994,29.063
5,0.1,1.5,30000,1.439108,44.375
5,0.1,1.5,50000,1.419304,36.25
5,0.1,1.8,500,1.503603,50
5,0.1,1.8,1000,1.477822,35.938
5,0.1,1.8,2000,1.488945,43.75
5,0.1,1.8,3000,1.466714,30.625
5,0.1,1.8,5000,1.460506,10.938
5,0.1,1.8,7000,1.473302,33.75
5,0.1,1.8,10000,1.445445,45
5,0.1,1.8,15000,1.430863,17.812
5,0.1,1.8,20000,1.423255,36.562
5,0.1,1.8,30000,1.434885,52.188
5,0.1,1.8,50000,1.430835,49.062
5,0.3,0.03,500,1.75418,47.812
5,0.3,0.03,1000,1.684881,40.938
5,0.3,0.03,2000,1.600682,38.75
5,0.3,0.03,3000,1.588163,42.5
5,0.3,0.03,5000,1.55472,48.75
5,0.3,0.03,7000,1.534867,45.625
5,0.3,0.03,10000,1.520019,47.188
5,0.3,0.03,15000,1.512866,34.688
5,0.3,0.03,20000,1.505783,44.375
5,0.3,0.03,30000,1.515467,40.938
5,0.3,0.03,50000,1.484277,43.125
5,0.3,0.1,500,1.631589,43.438
5,0.3,0.1,1000,1.58068,39.375
5,0.3,0.1,2000,1.56678,47.5
5,0.3,0.1,3000,1.512887,43.75
5,0.3,0.1,5000,1.506329,45.625
5,0.3,0.1,7000,1.49638,42.188
5,0.3,0.1,10000,1.487494,30.938
5,0.3,0.1,15000,1.479732,48.125
5,0.3,0.1,20000,1.484149,47.188
5,0.3,0.1,30000,1.470552,50.313
5,0.3,0.1,50000,1.471521,51.562
5,0.3,0.3,500,1.575224,43.438
5,0.3,0.3,1000,1.543766,43.438
5,0.3,0.3,2000,1.539655,44.375
